Game Title,Platform,Link
Kingdom Hearts,Playstation 2,https://www.metacritic.com/game/playstation-2/kingdom-hearts
Ratchet and Clank,Playstation 2,https://www.metacritic.com/game/playstation-2/ratchet-clank
Ratchet and Clank Up your Arsenal,Playstation 2,https://www.metacritic.com/game/playstation-2/ratchet-clank-up-your-arsenal
Ratchet and Clank Going Commando,Playstation 2,https://www.metacritic.com/game/playstation-2/ratchet-clank-going-commando
Ratchet Deadlocked,Playstation 2,https://www.metacritic.com/game/playstation-2/ratchet-deadlocked
Jak3,Playstation 2,https://www.metacritic.com/game/playstation-2/jak-3
JakX COmbat Racing,Playstation 2,https://www.metacritic.com/game/playstation-2/jak-x-combat-racing
Tom Clancy's Splinter cell,Playstation 2,https://www.metacritic.com/game/playstation-2/tom-clancys-splinter-cell
Shadow of the Collusus,Playstation 2,https://www.metacritic.com/game/playstation-2/shadow-of-the-colossus
Guitar Hero III Legends of Rock,Playstation 2,https://www.metacritic.com/game/playstation-2/guitar-hero-iii-legends-of-rock
Killzone,Playstation 2,https://www.metacritic.com/game/playstation-2/killzone
The Lord of the RIngs The third age,Playstation 2,https://www.metacritic.com/game/playstation-2/the-lord-of-the-rings-the-third-age
ATV Offroad Fury,Playstation 2,https://www.metacritic.com/game/playstation-2/atv-offroad-fury
Crash Team Racing,Playstation 2,https://www.metacritic.com/game/playstation/crash-team-racing
Tony Hawk's ProSkater 4,Playstation 2,https://www.metacritic.com/game/playstation-2/tony-hawks-pro-skater-4
Okami,Playstation 2,https://www.metacritic.com/game/playstation-2/okami
God of War (OG),Playstation 2,https://www.metacritic.com/game/playstation-2/god-of-war
God of War 2,Playstation 2,https://www.metacritic.com/game/playstation-2/god-of-war-ii
Onimusha,Playstation 2,https://www.metacritic.com/game/playstation-2/onimusha-warlords
Xenosaga,Playstation 2,https://www.metacritic.com/game/playstation-2/xenosaga-episode-i-der-wille-zur-macht
X-Men Legends,Playstation 2,https://www.metacritic.com/game/playstation-2/x-men-legends
Rise of Kasai,Playstation 2,https://www.metacritic.com/game/playstation-2/rise-of-the-kasai
Vampire the Masquerade Bloodlines,PC discs,https://www.metacritic.com/game/pc/vampire-the-masquerade---bloodlines
Dreamfall the Longest Journey,PC discs,https://www.metacritic.com/game/pc/dreamfall-the-longest-journey
The elder Scrolls IV Oblivion,PC discs,https://www.metacritic.com/game/pc/the-elder-scrolls-iv-oblivion
Far Cry,PC discs,https://www.metacritic.com/game/pc/far-cry
Dragon Age Origins,PC discs,https://www.metacritic.com/game/pc/dragon-age-origins
Quake 4,PC discs,https://www.metacritic.com/game/pc/quake-4
Halo,PC discs,https://www.metacritic.com/game/pc/halo-combat-evolved
Fallout 3,PC discs,https://www.metacritic.com/game/pc/fallout-3
Tomb Raider Underworld,PC discs,https://www.metacritic.com/game/pc/tomb-raider-underworld
Bioshock,PC discs,https://www.metacritic.com/game/pc/bioshock
Mass Effect,PC discs,https://www.metacritic.com/game/pc/mass-effect
